% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 64.01    0.091253          19      4800           write
 29.37    0.041874          17      2402           read
  6.57    0.009362        2340         4           openat
  0.03    0.000036           7         5           newfstatat
  0.02    0.000032           8         4           close
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         3           munmap
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         6           mmap
  0.00    0.000000           0         4           mprotect
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.142557          19      7238         1 total
