% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 54.01    0.063345          26      2401           write
 35.35    0.041456          17      2402           read
 10.00    0.011733        2933         4           openat
  0.21    0.000245         245         1           execve
  0.10    0.000114          19         6           mmap
  0.08    0.000090          22         4           close
  0.07    0.000084          28         3           munmap
  0.05    0.000064          16         4           mprotect
  0.03    0.000039          13         3           newfstatat
  0.03    0.000038          12         3           brk
  0.01    0.000016          16         1           getrandom
  0.01    0.000014          14         1           rseq
  0.01    0.000012          12         1         1 faccessat
  0.01    0.000011          11         1           set_robust_list
  0.01    0.000011          11         1           prlimit64
  0.01    0.000010          10         1           set_tid_address
------ ----------- ----------- --------- --------- ----------------
100.00    0.117282          24      4837         1 total
